District,Year,Season,Crop,Area,Production,Productivity
AMRAVATI,2001,Kharif     ,Bajra,1000,400,0.4
AMRAVATI,2001,Kharif     ,Jowar,109000,152800,1.401834862
AMRAVATI,2001,Kharif     ,Soyabean,153200,143600,0.937336815
AMRAVATI,2001,Rabi       ,Jowar,100,100,1
AMRAVATI,2001,Whole Year ,Sugarcane,3000,204100,68.03333333
AMRAVATI,2002,Kharif     ,Bajra,800,500,0.625
AMRAVATI,2002,Kharif     ,Jowar,102900,144000,1.39941691
AMRAVATI,2002,Kharif     ,Soyabean,156500,150000,0.958466454
AMRAVATI,2002,Rabi       ,Jowar,100,100,1
AMRAVATI,2002,Whole Year ,Sugarcane,2300,124000,53.91304348
AMRAVATI,2003,Kharif     ,Bajra,800,400,0.5
AMRAVATI,2003,Kharif     ,Jowar,100200,143100,1.428143713
AMRAVATI,2003,Kharif     ,Soyabean,155000,216100,1.394193548
AMRAVATI,2003,Rabi       ,Jowar,100,100,1
AMRAVATI,2003,Whole Year ,Sugarcane,2500,155300,62.12
AMRAVATI,2004,Kharif     ,Bajra,700,400,0.571428571
AMRAVATI,2004,Kharif     ,Jowar,92800,88700,0.955818966
AMRAVATI,2004,Rabi       ,Soyabean,167100,80000,0.478755236
AMRAVATI,2004,Whole Year ,Sugarcane,1400,58700,41.92857143
AMRAVATI,2005,Kharif     ,Bajra,300,100,0.333333333
AMRAVATI,2005,Kharif     ,Soyabean,181200,204400,1.12803532
AMRAVATI,2005,Kharif     ,Sugarcane,1100,72500,65.90909091
AMRAVATI,2006,Kharif     ,Bajra,200,100,0.5
AMRAVATI,2006,Kharif     ,Jowar,94700,111500,1.177402323
AMRAVATI,2006,Kharif     ,Soyabean,216700,323600,1.493308722
AMRAVATI,2007,Kharif     ,Bajra,2,1,0.5
AMRAVATI,2007,Kharif     ,Jowar,779,1058,1.358151476
AMRAVATI,2007,Kharif     ,Soyabean,2858,4857,1.699440168
AMRAVATI,2007,Whole Year ,Sugarcane,12,959,79.91666667
AMRAVATI,2008,Kharif     ,Bajra,300,200,0.666666667
AMRAVATI,2008,Kharif     ,Jowar,40300,36700,0.910669975
AMRAVATI,2008,Kharif     ,Soyabean,373000,124200,0.332975871
AMRAVATI,2008,Kharif     ,Sugarcane,800,44500,55.625
AMRAVATI,2008,Whole Year ,Sugarcane,800,43900,54.875
AMRAVATI,2009,Kharif     ,Bajra,200,200,1
AMRAVATI,2009,Kharif     ,Jowar,49100,52700,1.073319756
AMRAVATI,2009,Kharif     ,Soyabean,317600,256900,0.808879093
AMRAVATI,2009,Kharif     ,Sugarcane,200,14000,70
AMRAVATI,2010,Kharif     ,Bajra,300,200,0.666666667
AMRAVATI,2010,Kharif     ,Jowar,48400,51700,1.068181818
AMRAVATI,2010,Kharif     ,Soyabean,273300,444500,1.626417856
AMRAVATI,2010,Kharif     ,Sugarcane,300,20700,69
AMRAVATI,2010,Rabi       ,Jowar,1100,1100,1
AMRAVATI,2011,Kharif     ,Bajra,300,200,0.666666667
AMRAVATI,2011,Kharif     ,Jowar,39700,58300,1.468513854
AMRAVATI,2011,Kharif     ,Soyabean,296700,373100,1.257499157
AMRAVATI,2011,Rabi       ,Jowar,600,500,0.833333333
AMRAVATI,2011,Whole Year ,Sugarcane,400,28700,71.75
AMRAVATI,2012,Kharif     ,Bajra,300,200,0.666666667
AMRAVATI,2012,Kharif     ,Jowar,37700,49000,1.299734748
AMRAVATI,2012,Kharif     ,Soyabean,309500,471800,1.524394184
AMRAVATI,2012,Whole Year ,Sugarcane,300,16700,55.66666667
AMRAVATI,2013,Kharif     ,Jowar,35200,22700,0.644886364
AMRAVATI,2013,Kharif     ,Soyabean,366400,352700,0.96260917
AMRAVATI,2013,Whole Year ,Sugarcane,300,21700,72.33333333
AMRAVATI,2014,Kharif     ,Jowar,26800,27400,1.02238806
AMRAVATI,2014,Kharif     ,Soyabean,370600,128300,0.346195359
AMRAVATI,2014,Rabi       ,Jowar,200,200,1
AMRAVATI,2014,Whole Year ,Sugarcane,400,16100,40.25
AURANGABAD,2001,Kharif     ,Bajra,137400,86700,0.631004367
AURANGABAD,2001,Kharif     ,Jowar,25900,27500,1.061776062
AURANGABAD,2001,Kharif     ,Soyabean,1900,2000,1.052631579
AURANGABAD,2001,Rabi       ,Jowar,212900,123900,0.581963363
AURANGABAD,2001,Whole Year ,Sugarcane,10300,521500,50.63106796
AURANGABAD,2002,Kharif     ,Bajra,149900,131100,0.874583055
AURANGABAD,2002,Kharif     ,Jowar,24400,34400,1.409836066
AURANGABAD,2002,Kharif     ,Soyabean,2700,4100,1.518518519
AURANGABAD,2002,Rabi       ,Jowar,147500,82400,0.558644068
AURANGABAD,2002,Whole Year ,Sugarcane,11800,735000,62.28813559
AURANGABAD,2003,Kharif     ,Bajra,128700,110200,0.856254856
AURANGABAD,2003,Kharif     ,Jowar,17900,23800,1.329608939
AURANGABAD,2003,Kharif     ,Soyabean,4600,6200,1.347826087
AURANGABAD,2003,Rabi       ,Jowar,170000,61300,0.360588235
AURANGABAD,2003,Whole Year ,Sugarcane,8400,377300,44.91666667
AURANGABAD,2004,Kharif     ,Bajra,128900,107900,0.83708301
AURANGABAD,2004,Kharif     ,Jowar,10600,12900,1.216981132
AURANGABAD,2004,Rabi       ,Jowar,168500,107400,0.637388724
AURANGABAD,2004,Rabi       ,Soyabean,5700,5400,0.947368421
AURANGABAD,2004,Whole Year ,Sugarcane,6400,509500,79.609375
AURANGABAD,2005,Kharif     ,Bajra,131400,150000,1.141552511
AURANGABAD,2005,Kharif     ,Soyabean,8600,10300,1.197674419
AURANGABAD,2005,Kharif     ,Sugarcane,10600,646600,61
AURANGABAD,2006,Kharif     ,Bajra,123100,139400,1.132412673
AURANGABAD,2006,Kharif     ,Jowar,8000,14100,1.7625
AURANGABAD,2006,Kharif     ,Soyabean,10000,15600,1.56
AURANGABAD,2006,Rabi       ,Jowar,164000,161300,0.983536585
AURANGABAD,2007,Kharif     ,Bajra,1111,1362,1.225922592
AURANGABAD,2007,Kharif     ,Jowar,62,101,1.629032258
AURANGABAD,2007,Kharif     ,Soyabean,86,138,1.604651163
AURANGABAD,2007,Rabi       ,Jowar,1131,1197,1.058355438
AURANGABAD,2007,Whole Year ,Sugarcane,343,27115,79.05247813
AURANGABAD,2008,Kharif     ,Bajra,109100,103500,0.948670944
AURANGABAD,2008,Kharif     ,Jowar,4000,7100,1.775
AURANGABAD,2008,Kharif     ,Soyabean,6200,5100,0.822580645
AURANGABAD,2008,Kharif     ,Sugarcane,17500,1315700,75.18285714
AURANGABAD,2008,Rabi       ,Jowar,178200,100800,0.565656566
AURANGABAD,2008,Whole Year ,Sugarcane,17500,1315700,75.18285714
AURANGABAD,2009,Kharif     ,Bajra,122400,121800,0.995098039
AURANGABAD,2009,Kharif     ,Jowar,8300,13000,1.56626506
AURANGABAD,2009,Kharif     ,Soyabean,5100,5700,1.117647059
AURANGABAD,2009,Kharif     ,Sugarcane,13600,1154500,84.88970588
AURANGABAD,2009,Rabi       ,Jowar,171800,188100,1.094877765
AURANGABAD,2010,Kharif     ,Bajra,89800,126500,1.408685969
AURANGABAD,2010,Kharif     ,Jowar,7100,14800,2.084507042
AURANGABAD,2010,Kharif     ,Soyabean,7700,16400,2.12987013
AURANGABAD,2010,Kharif     ,Sugarcane,23300,1959500,84.09871245
AURANGABAD,2010,Rabi       ,Jowar,80800,62800,0.777227723
AURANGABAD,2011,Kharif     ,Bajra,68500,87800,1.281751825
AURANGABAD,2011,Kharif     ,Jowar,5900,11600,1.966101695
AURANGABAD,2011,Kharif     ,Soyabean,7800,11100,1.423076923
AURANGABAD,2011,Rabi       ,Jowar,86300,65200,0.755504056
AURANGABAD,2011,Whole Year ,Sugarcane,20100,1705200,84.8358209
AURANGABAD,2012,Kharif     ,Bajra,68500,44500,0.649635036
AURANGABAD,2012,Kharif     ,Jowar,5900,6300,1.06779661
AURANGABAD,2012,Kharif     ,Soyabean,7800,5800,0.743589744
AURANGABAD,2012,Rabi       ,Jowar,96400,26000,0.269709544
AURANGABAD,2012,Whole Year ,Sugarcane,14800,630900,42.62837838
AURANGABAD,2013,Kharif     ,Bajra,31000,38000,1.225806452
AURANGABAD,2013,Kharif     ,Jowar,3600,6500,1.805555556
AURANGABAD,2013,Kharif     ,Soyabean,11500,12500,1.086956522
AURANGABAD,2013,Rabi       ,Jowar,86200,65400,0.758700696
AURANGABAD,2013,Whole Year ,Sugarcane,14600,1170600,80.17808219
AURANGABAD,2014,Kharif     ,Bajra,45300,24200,0.534216336
AURANGABAD,2014,Kharif     ,Jowar,3700,1700,0.459459459
AURANGABAD,2014,Kharif     ,Soyabean,18700,8500,0.454545455
AURANGABAD,2014,Rabi       ,Jowar,107100,44900,0.41923436
AURANGABAD,2014,Whole Year ,Sugarcane,13900,932200,67.0647482
LATUR,2001,Kharif     ,Bajra,9500,3100,0.326315789
LATUR,2001,Kharif     ,Jowar,162800,205900,1.264742015
LATUR,2001,Kharif     ,Soyabean,14100,10300,0.730496454
LATUR,2001,Rabi       ,Jowar,28700,17100,0.595818815
LATUR,2001,Whole Year ,Sugarcane,36100,2107300,58.37396122
LATUR,2002,Kharif     ,Bajra,9300,5700,0.612903226
LATUR,2002,Kharif     ,Jowar,157500,250200,1.588571429
LATUR,2002,Kharif     ,Soyabean,21600,24900,1.152777778
LATUR,2002,Rabi       ,Jowar,29100,20500,0.704467354
LATUR,2002,Whole Year ,Sugarcane,31300,1540000,49.20127796
LATUR,2003,Kharif     ,Bajra,8100,3600,0.444444444
LATUR,2003,Kharif     ,Jowar,156700,229100,1.462029355
LATUR,2003,Kharif     ,Soyabean,112200,121300,1.081105169
LATUR,2003,Rabi       ,Jowar,28900,12500,0.432525952
LATUR,2003,Whole Year ,Sugarcane,19400,1023900,52.77835052
LATUR,2004,Kharif     ,Bajra,7400,3900,0.527027027
LATUR,2004,Kharif     ,Jowar,139700,137800,0.986399427
LATUR,2004,Rabi       ,Jowar,31400,19300,0.614649682
LATUR,2004,Rabi       ,Soyabean,152800,88900,0.581806283
LATUR,2004,Whole Year ,Sugarcane,15500,834400,53.83225806
LATUR,2005,Kharif     ,Bajra,6000,3300,0.55
LATUR,2005,Kharif     ,Soyabean,173100,249800,1.443096476
LATUR,2005,Kharif     ,Sugarcane,18300,1415200,77.33333333
LATUR,2006,Kharif     ,Bajra,5900,2400,0.406779661
LATUR,2006,Kharif     ,Jowar,138400,180900,1.307080925
LATUR,2006,Kharif     ,Soyabean,155400,43300,0.278635779
LATUR,2006,Rabi       ,Jowar,31900,23600,0.739811912
LATUR,2007,Kharif     ,Bajra,56,31,0.553571429
LATUR,2007,Kharif     ,Jowar,1333,2024,1.518379595
LATUR,2007,Kharif     ,Soyabean,1830,2135,1.166666667
LATUR,2007,Rabi       ,Jowar,292,280,0.95890411
LATUR,2007,Whole Year ,Sugarcane,679,42698,62.88365243
LATUR,2008,Kharif     ,Bajra,5000,2300,0.46
LATUR,2008,Kharif     ,Jowar,125700,130600,1.038981702
LATUR,2008,Kharif     ,Soyabean,211100,91000,0.43107532
LATUR,2008,Kharif     ,Sugarcane,38400,2074600,54.02604167
LATUR,2008,Rabi       ,Jowar,27300,20800,0.761904762
LATUR,2008,Whole Year ,Sugarcane,38400,2074600,54.02604167
LATUR,2009,Kharif     ,Bajra,4000,1500,0.375
LATUR,2009,Kharif     ,Jowar,117200,90000,0.767918089
LATUR,2009,Kharif     ,Soyabean,217700,142600,0.655029858
LATUR,2009,Kharif     ,Sugarcane,39900,3031400,75.97493734
LATUR,2009,Rabi       ,Jowar,29100,24200,0.83161512
LATUR,2010,Kharif     ,Bajra,4300,2200,0.511627907
LATUR,2010,Kharif     ,Jowar,123600,176700,1.42961165
LATUR,2010,Kharif     ,Soyabean,194500,431800,2.220051414
LATUR,2010,Kharif     ,Sugarcane,33000,2263800,68.6
LATUR,2010,Rabi       ,Jowar,31400,23200,0.738853503
LATUR,2011,Kharif     ,Bajra,3800,2100,0.552631579
LATUR,2011,Kharif     ,Jowar,106200,139700,1.315442561
LATUR,2011,Kharif     ,Soyabean,265400,437200,1.647324793
LATUR,2011,Rabi       ,Jowar,27100,27300,1.007380074
LATUR,2011,Whole Year ,Sugarcane,42900,3113200,72.56876457
LATUR,2012,Kharif     ,Bajra,3800,2700,0.710526316
LATUR,2012,Kharif     ,Jowar,99900,166000,1.661661662
LATUR,2012,Kharif     ,Soyabean,265400,625400,2.356443105
LATUR,2012,Rabi       ,Jowar,30100,28200,0.936877076
LATUR,2012,Whole Year ,Sugarcane,46400,3051100,65.75646552
LATUR,2013,Kharif     ,Bajra,2700,1300,0.481481481
LATUR,2013,Kharif     ,Jowar,96000,147200,1.533333333
LATUR,2013,Kharif     ,Soyabean,308400,670400,2.173800259
LATUR,2013,Rabi       ,Jowar,30100,29900,0.993355482
LATUR,2013,Whole Year ,Sugarcane,41500,2902800,69.94698795
LATUR,2014,Kharif     ,Bajra,2500,400,0.16
LATUR,2014,Kharif     ,Jowar,88300,94600,1.071347678
LATUR,2014,Kharif     ,Soyabean,336800,210000,0.623515439
LATUR,2014,Rabi       ,Jowar,22200,8100,0.364864865
LATUR,2014,Whole Year ,Sugarcane,46400,2354600,50.74568966
NAGPUR,2001,Kharif     ,Jowar,47900,39000,0.814196242
NAGPUR,2001,Kharif     ,Soyabean,193300,193300,1
NAGPUR,2001,Rabi       ,Jowar,9800,4000,0.408163265
NAGPUR,2001,Whole Year ,Sugarcane,900,52400,58.22222222
NAGPUR,2002,Kharif     ,Jowar,46500,43700,0.939784946
NAGPUR,2002,Kharif     ,Soyabean,206900,222900,1.077332044
NAGPUR,2002,Rabi       ,Jowar,6000,2700,0.45
NAGPUR,2002,Whole Year ,Sugarcane,1300,49000,37.69230769
NAGPUR,2003,Kharif     ,Jowar,44600,42800,0.959641256
NAGPUR,2003,Kharif     ,Soyabean,218500,277500,1.270022883
NAGPUR,2003,Rabi       ,Jowar,8100,3000,0.37037037
NAGPUR,2003,Whole Year ,Sugarcane,900,52900,58.77777778
NAGPUR,2004,Kharif     ,Jowar,40500,29400,0.725925926
NAGPUR,2004,Rabi       ,Jowar,4800,2200,0.458333333
NAGPUR,2004,Rabi       ,Soyabean,234800,172100,0.732964225
NAGPUR,2004,Whole Year ,Sugarcane,400,29600,74
NAGPUR,2005,Kharif     ,Soyabean,244800,257500,1.051879085
NAGPUR,2006,Kharif     ,Jowar,33000,34400,1.042424242
NAGPUR,2006,Kharif     ,Soyabean,263500,346600,1.315370019
NAGPUR,2006,Rabi       ,Jowar,4100,2200,0.536585366
NAGPUR,2007,Kharif     ,Jowar,221,218,0.986425339
NAGPUR,2007,Kharif     ,Soyabean,2775,3792,1.366486486
NAGPUR,2007,Rabi       ,Jowar,33,14,0.424242424
NAGPUR,2007,Whole Year ,Sugarcane,3,229,76.33333333
NAGPUR,2008,Kharif     ,Jowar,17200,14400,0.837209302
NAGPUR,2008,Kharif     ,Soyabean,303200,257200,0.84828496
NAGPUR,2008,Kharif     ,Sugarcane,200,11500,57.5
NAGPUR,2008,Rabi       ,Jowar,2200,800,0.363636364
NAGPUR,2008,Whole Year ,Sugarcane,200,11500,57.5
NAGPUR,2009,Kharif     ,Jowar,12300,9200,0.74796748
NAGPUR,2009,Kharif     ,Soyabean,285100,219800,0.770957559
NAGPUR,2009,Kharif     ,Sugarcane,200,14100,70.5
NAGPUR,2009,Rabi       ,Jowar,3300,1700,0.515151515
NAGPUR,2010,Kharif     ,Jowar,12900,9500,0.736434109
NAGPUR,2010,Kharif     ,Soyabean,242400,287100,1.184405941
NAGPUR,2010,Kharif     ,Sugarcane,300,6200,20.66666667
NAGPUR,2010,Rabi       ,Jowar,3300,1500,0.454545455
NAGPUR,2011,Kharif     ,Jowar,7900,5600,0.708860759
NAGPUR,2011,Kharif     ,Soyabean,241200,157300,0.652155887
NAGPUR,2011,Rabi       ,Jowar,2100,1500,0.714285714
NAGPUR,2011,Whole Year ,Sugarcane,700,48000,68.57142857
NAGPUR,2012,Kharif     ,Jowar,6200,5100,0.822580645
NAGPUR,2012,Kharif     ,Soyabean,237100,238600,1.006326445
NAGPUR,2012,Rabi       ,Jowar,2300,1600,0.695652174
NAGPUR,2012,Whole Year ,Sugarcane,300,22100,73.66666667
NAGPUR,2013,Kharif     ,Jowar,4700,1900,0.404255319
NAGPUR,2013,Kharif     ,Soyabean,232800,99900,0.429123711
NAGPUR,2013,Rabi       ,Jowar,1800,1500,0.833333333
NAGPUR,2013,Whole Year ,Sugarcane,300,20000,66.66666667
NAGPUR,2014,Kharif     ,Jowar,3900,2300,0.58974359
NAGPUR,2014,Kharif     ,Soyabean,220400,79500,0.360707804
NAGPUR,2014,Rabi       ,Jowar,1100,400,0.363636364
NAGPUR,2014,Whole Year ,Sugarcane,3800,258500,68.02631579
NASHIK,2001,Kharif     ,Bajra,324200,179900,0.55490438
NASHIK,2001,Kharif     ,Jowar,12000,10700,0.891666667
NASHIK,2001,Kharif     ,Soyabean,5500,10000,1.818181818
NASHIK,2001,Rabi       ,Jowar,19100,10300,0.539267016
